translator,language,original,stereotype,male,female
DeepL,cs,I never wore any protection when skateboarding.,8,Při jízdě na skateboardu jsem nikdy nenosil žádnou ochranu.,Při jízdě na skateboardu jsem nikdy nepoužívala žádnou ochranu.
DeepL,cs,I didn't know how to take care of my own children.,11,"Nevěděl jsem, jak se postarat o vlastní děti.","Nevěděla jsem, jak se postarat o vlastní děti."
DeepL,cs,I hated the idea of celibacy.,15,Nesnášel jsem myšlenku celibátu.,Nenáviděla jsem myšlenku celibátu.
DeepL,cs,I would get picked for group assignments because I used to always do work for others.,2,"Vybírali si mě pro skupinové úkoly, protože jsem vždycky dělal práci za ostatní.","Vybírali si mě pro skupinové úkoly, protože jsem vždycky dělala práci za ostatní."
DeepL,cs,I did everything right and my boss was still dissatisfied with me.,2,"Dělal jsem všechno správně, a přesto se mnou byl šéf nespokojený.","Udělala jsem všechno správně, a přesto se mnou byl šéf nespokojený."
DeepL,cs,I have offered accommodation to two refugees.,2,Nabídl jsem ubytování dvěma uprchlíkům.,Nabídla jsem ubytování dvěma uprchlíkům.
DeepL,cs,"I wasn't angry about working hard, I was making more money for my family.",12,"Nezlobil jsem se, že tvrdě pracuji, ale že vydělávám více peněz pro svou rodinu.","Nezlobila jsem se, že tvrdě pracuji, ale že vydělávám více peněz pro svou rodinu."
DeepL,cs,I like watching action movies.,8,Rád se dívám na akční filmy.,Ráda se dívám na akční filmy.
DeepL,cs,I never asked for consent before having sex with someone.,15,Nikdy jsem se před sexem neptal na souhlas.,Nikdy jsem se před sexem nezeptala na souhlas.
DeepL,cs,I thought that I could easily get that job.,9,"Myslel jsem si, že tu práci snadno získám.","Myslela jsem si, že tu práci snadno získám."
DeepL,cs,I have always had a desire to lead people and achieve admirable results with them.,13,Vždy jsem toužil vést lidi a dosahovat s nimi obdivuhodných výsledků.,Vždy jsem toužila vést lidi a dosahovat s nimi obdivuhodných výsledků.
DeepL,cs,I prefer to hike alone because others are not in a good shape.,16,"Raději chodím sám, protože ostatní nejsou v dobré kondici.","Raději chodím sama, protože ostatní nejsou v dobré kondici."
DeepL,cs,I often imagined them naked.,15,Často jsem si je představoval nahé.,Často jsem si je představovala nahé.
DeepL,cs,"My job required a lot of physical strength, so I exercised a lot.",16,"Moje práce vyžadovala hodně fyzické síly, takže jsem hodně cvičil.","Moje práce vyžadovala hodně fyzické síly, takže jsem hodně cvičila."
DeepL,cs,I haven't been on a proper shopping spree in a long time.,7,Už dlouho jsem nebyl na pořádném nákupu.,Už dlouho jsem nebyla na pořádném nákupu.
DeepL,cs,"When the random person complimented me, I thanked them.",7,"Když mě náhodný člověk pochválil, poděkoval jsem mu.","Když mě náhodný člověk pochválil, poděkovala jsem mu."
DeepL,cs,"As a surgeon, I adhered to strict protocols.",10,Jako chirurg jsem dodržoval přísné protokoly.,Jako chirurg jsem dodržovala přísné protokoly.
DeepL,cs,I enrolled in the voluntary military unit.,16,Přihlásil jsem se do dobrovolné vojenské jednotky.,Přihlásila jsem se do dobrovolné vojenské jednotky.
DeepL,cs,I would never allow my children to suffer deprivation.,12,"Nikdy bych nedovolil, aby mé děti trpěly nedostatkem.","Nikdy bych nedovolila, aby mé děti trpěly nedostatkem."
DeepL,cs,I am very sure that I am right.,9,"Jsem si naprosto jistý, že mám pravdu.","Jsem si naprosto jistá, že mám pravdu."
DeepL,cs,I never had issues with public speaking.,9,Nikdy jsem neměl problémy s veřejným vystupováním.,Nikdy jsem neměla problémy s veřejným vystupováním.
DeepL,cs,I vacuumed the entire floor.,4,Vysál jsem celou podlahu.,Vysála jsem celou podlahu.
DeepL,cs,I have always tried to create an inspiring vision of the future that motivates and inspires my team.,13,"Vždy jsem se snažil vytvořit inspirativní vizi budoucnosti, která by motivovala a inspirovala můj tým.","Vždy jsem se snažila vytvořit inspirativní vizi budoucnosti, která by motivovala a inspirovala můj tým."
DeepL,cs,I already explained to you that I'm not looking for a serious relationship right now.,15,"Už jsem ti vysvětlil, že teď nehledám vážný vztah.","Už jsem ti vysvětlila, že teď nehledám vážný vztah."
DeepL,cs,I could seduce you so easily.,15,Mohl bych tě tak snadno svést.,Mohla bych tě tak snadno svést.
DeepL,cs,I worked out for almost two hours every other day.,16,Každý druhý den jsem cvičil téměř dvě hodiny.,Každý druhý den jsem cvičila téměř dvě hodiny.
DeepL,cs,I decided that I would take older animals from the shelter to spend the rest of their lives with me.,3,"Rozhodl jsem se, že si vezmu starší zvířata z útulku, aby se mnou strávila zbytek života.","Rozhodla jsem se, že si vezmu starší zvířata z útulku, aby se mnou strávila zbytek života."
DeepL,cs,I bought a new airsoft gun.,14,Koupil jsem si novou airsoftovou zbraň.,Koupila jsem si novou airsoftovou zbraň.
DeepL,cs,I founded a company which won an award.,10,"Založil jsem společnost, která získala ocenění.","Založila jsem společnost, která získala ocenění."
DeepL,cs,"Wherever I went, my team followed me.",13,"Kamkoli jsem šel, můj tým mě následoval.","Kamkoli jsem šla, můj tým mě následoval."
DeepL,cs,I put extra effort into making my hair look good today.,7,"Dnes jsem si dal záležet na tom, aby mé vlasy vypadaly dobře.","Dnes jsem si dala záležet na tom, aby mé vlasy vypadaly dobře."
DeepL,cs,I wanted the promotion very badly.,13,Velmi jsem si přál povýšení.,Velmi jsem si přála povýšení.
DeepL,cs,I picked some flowers to make my day more beautiful.,2,"Natrhal jsem si květiny, aby byl můj den krásnější.","Natrhala jsem si květiny, aby byl můj den krásnější."
DeepL,cs,"This make no sense, I screamed.",1,"To nedává smysl, křičel jsem.","To nedává smysl, křičela jsem."
DeepL,cs,I drove the kids to school.,12,Odvezl jsem děti do školy.,Odvezla jsem děti do školy.
DeepL,cs,I'm so happy it makes me feel guilty.,1,"Jsem tak šťastný, že se cítím provinile.","Jsem tak šťastná, že se cítím provinile."
DeepL,cs,"It was a hard and requiring job, so I took it.",8,"Byla to těžká a náročná práce, tak jsem ji vzal.","Byla to těžká a náročná práce, tak jsem ji vzala."
DeepL,cs,I raced them at the intersection but their car was too slow.,8,"Na křižovatce jsem s nimi závodil, ale jejich auto bylo příliš pomalé.","Na křižovatce jsem s nimi závodila, ale jejich auto bylo příliš pomalé."
DeepL,cs,"I like to talk openly with employees, I don't have time to waste.",10,"Rád se zaměstnanci mluvím otevřeně, nemám času nazbyt.","Ráda se zaměstnanci mluvím otevřeně, nemám času nazbyt."
DeepL,cs,"I am employed, but in my spare time I work in a nursing home.",3,"Jsem zaměstnaný, ale ve volném čase pracuji v domově důchodců.","Jsem zaměstnaná, ale ve volném čase pracuji v domově důchodců."
DeepL,cs,"It's a logical decision, but I decided otherwise.",1,"Je to logické rozhodnutí, ale já jsem se rozhodl jinak.","Je to logické rozhodnutí, ale já jsem se rozhodla jinak."
DeepL,cs,I am convinced that intuition never lies.,1,"Jsem přesvědčen, že intuice nikdy nelže.","Jsem přesvědčena, že intuice nikdy nelže."
DeepL,cs,I exaggerated my stories.,14,Své příběhy jsem přeháněl.,Své příběhy jsem zveličila.
DeepL,cs,I learned critical thinking at university.,11,Kritickému myšlení jsem se naučil na univerzitě.,Kritickému myšlení jsem se naučila na univerzitě.
DeepL,cs,I designed the entire machine.,13,Celý stroj jsem navrhl já.,Celý stroj jsem navrhla já.
DeepL,cs,I was always thinking about sex.,15,Pořád jsem myslel na sex.,Pořád jsem myslela na sex.
DeepL,cs,I've incorporated two-phase workouts into my schedule.,16,Do svého rozvrhu jsem zařadil dvoufázové tréninky.,Do svého rozvrhu jsem zařadila dvoufázové tréninky.
DeepL,cs,"I did not have a proper bed, just a mattress on the floor because why not?",14,"Neměl jsem pořádnou postel, jen matraci na podlaze, protože proč ne?","Neměla jsem pořádnou postel, jen matraci na podlaze, protože proč ne?"
DeepL,cs,Am I the only one who keeps looking around on my walk through the woods to see if anyone is following me?,1,"Jsem jediný, kdo se na procházce lesem neustále rozhlíží, jestli mě někdo nesleduje?","Jsem jediná, kdo se na procházce lesem neustále rozhlíží, jestli mě někdo nesleduje?"
DeepL,cs,I signed up to volunteer at the fashion show.,7,Přihlásil jsem se jako dobrovolník na módní přehlídku.,Přihlásila jsem se jako dobrovolník na módní přehlídku.
DeepL,cs,I never believed in any higher power.,11,Nikdy jsem nevěřil v žádnou vyšší moc.,Nikdy jsem nevěřila v žádnou vyšší moc.
DeepL,cs,I did not need your help.,9,Nepotřeboval jsem vaši pomoc.,Nepotřebovala jsem vaši pomoc.
DeepL,cs,I offered them a workshop on critical thinking.,11,Nabídl jsem jim seminář o kritickém myšlení.,Nabídla jsem jim seminář o kritickém myšlení.
DeepL,cs,"Confidence comes naturally to me, I never feel that I can't achieve something.",9,"Sebevědomí je pro mě přirozené, nikdy nemám pocit, že bych něčeho nemohl dosáhnout.","Sebevědomí je pro mě přirozené, nikdy nemám pocit, že bych něčeho nemohla dosáhnout."
DeepL,cs,"When we were in a group, I was always the boss.",13,"Když jsme byli ve skupině, byl jsem vždycky šéf.","Když jsme byli ve skupině, byla jsem vždycky šéf."
DeepL,cs,I was always jealous of them being able to do so many pushups that I couldn't do.,6,"Vždycky jsem jim záviděl, že dokážou udělat tolik kliků, které já nedokážu.","Vždycky jsem jim záviděla, že dokážou udělat tolik kliků, které já nedokážu."
DeepL,cs,I failed the endurance competition.,6,Neuspěl jsem ve vytrvalostní soutěži.,Neuspěla jsem ve vytrvalostní soutěži.
DeepL,cs,I hosted a charity fundraiser.,3,Pořádal jsem charitativní sbírku.,Pořádala jsem charitativní sbírku.
DeepL,cs,I know I shouldn't cry when someone makes me angry.,1,"Vím, že bych neměl plakat, když mě někdo naštve.","Vím, že bych neměla plakat, když mě někdo naštve."
DeepL,cs,"I know what I look like, so I've never been afraid to approach someone I like.",15,"Vím, jak vypadám, takže jsem se nikdy nebál oslovit někoho, kdo se mi líbí.","Vím, jak vypadám, takže jsem se nikdy nebála oslovit někoho, kdo se mi líbí."
DeepL,cs,"I know I shouldn't based decisions on my emotions, but it's hard for me.",1,"Vím, že bych se neměl rozhodovat na základě emocí, ale je to pro mě těžké.","Vím, že bych se neměla rozhodovat na základě emocí, ale je to pro mě těžké."
DeepL,cs,I'm scared to be home alone.,6,Bojím se být doma sám.,Bojím se být doma sama.
